Date, Sent, Opened, Unique Opened, Replied, Link Clicks, Unique Link Clicks
2026-05-28, 69, 0, 0, 2, 0, 0
2026-05-29, 99, 0, 0, 3, 0, 0
2026-05-30, 104, 0, 0, 3, 0, 0
2026-05-31, 105, 0, 0, 0, 0, 0
2026-06-01, 114, 0, 0, 2, 0, 0
2026-06-02, 103, 0, 0, 3, 0, 0
2026-06-03, 38, 0, 0, 2, 0, 0
2026-06-04, 82, 0, 0, 2, 0, 0
2026-06-05, 117, 0, 0, 3, 0, 0
2026-06-06, 109, 0, 0, 1, 0, 0
2026-06-07, 228, 0, 0, 7, 0, 0
2026-06-08, 282, 0, 0, 8, 0, 0
2026-06-09, 14, 0, 0, 0, 0, 0
2026-06-10, 182, 0, 0, 2, 0, 0
2026-06-11, 237, 0, 0, 3, 0, 0
2026-06-12, 22, 0, 0, 3, 0, 0
2026-06-13, 11, 0, 0, 0, 0, 0
2026-06-14, 181, 0, 0, 6, 0, 0
2026-06-15, 234, 0, 0, 0, 0, 0
2026-06-16, 3, 0, 0, 1, 0, 0
2026-06-21, 0, 0, 0, 1, 0, 0
2026-06-24, 0, 0, 0, 1, 0, 0
2026-06-29, 0, 0, 0, 2, 0, 0
